month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,source,remaining_lease,remaining_lease_years,remaining_lease_months,remaining_lease_computed,failure_reason,rid
2015-01-01,QUEENSTOWN,4 ROOM,168A,QUEENSWAY,19 TO 21,84.0,Improved,1974,463000.0,Jan2015-Dec2016 (Registration),58.0,46,6,46 years 06 months,key_duplicate,
2015-01-01,SENGKANG,4 ROOM,273C,COMPASSVALE LINK,13 TO 15,90.0,Premium Apartment,2009,538000.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,key_duplicate,
2015-01-01,KALLANG/WHAMPOA,3 ROOM,57,GEYLANG BAHRU,16 TO 18,65.0,Improved,1974,315000.0,Jan2015-Dec2016 (Registration),58.0,46,6,46 years 06 months,key_duplicate,
2015-01-01,PUNGGOL,4 ROOM,302D,PUNGGOL PL,04 TO 06,93.0,Premium Apartment,2011,455000.0,Jan2015-Dec2016 (Registration),95.0,83,6,83 years 06 months,key_duplicate,
2015-01-01,PASIR RIS,4 ROOM,516,PASIR RIS ST 52,10 TO 12,106.0,Model A,1993,420000.0,Jan2015-Dec2016 (Registration),78.0,65,6,65 years 06 months,key_duplicate,
2015-01-01,WOODLANDS,5 ROOM,689D,WOODLANDS DR 75,10 TO 12,110.0,Premium Apartment,2004,440000.0,Jan2015-Dec2016 (Registration),88.0,76,6,76 years 06 months,key_duplicate,
2015-01-01,WOODLANDS,4 ROOM,577,WOODLANDS DR 16,01 TO 03,91.0,Model A,2000,340000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,key_duplicate,
2015-01-01,YISHUN,3 ROOM,712,YISHUN AVE 5,04 TO 06,68.0,New Generation,1984,275000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-01-01,YISHUN,3 ROOM,712,YISHUN AVE 5,10 TO 12,68.0,New Generation,1984,295000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-01-01,BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,04 TO 06,68.0,New Generation,1981,288000.0,Jan2015-Dec2016 (Registration),65.0,53,6,53 years 06 months,key_duplicate,
2015-01-01,BISHAN,4 ROOM,264,BISHAN ST 24,07 TO 09,104.0,Model A,1992,475000.0,Jan2015-Dec2016 (Registration),76.0,64,6,64 years 06 months,key_duplicate,
2015-01-01,JURONG EAST,3 ROOM,102,JURONG EAST ST 13,07 TO 09,68.0,New Generation,1982,360000.0,Jan2015-Dec2016 (Registration),66.0,54,6,54 years 06 months,key_duplicate,
2015-01-01,HOUGANG,3 ROOM,328,HOUGANG AVE 5,10 TO 12,67.0,New Generation,1983,300000.0,Jan2015-Dec2016 (Registration),67.0,55,6,55 years 06 months,key_duplicate,
2015-01-01,JURONG WEST,5 ROOM,673B,JURONG WEST ST 65,13 TO 15,110.0,Improved,2002,450000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-01-01,GEYLANG,3 ROOM,25,EUNOS CRES,04 TO 06,59.0,Improved,1977,280000.0,Jan2015-Dec2016 (Registration),61.0,49,6,49 years 06 months,key_duplicate,
2015-02-01,SENGKANG,4 ROOM,264A,COMPASSVALE BOW,07 TO 09,92.0,Premium Apartment,2007,475000.0,Jan2015-Dec2016 (Registration),91.0,79,6,79 years 06 months,key_duplicate,
2015-02-01,SENGKANG,4 ROOM,295A,COMPASSVALE CRES,04 TO 06,90.0,Model A,2002,310999.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-02-01,SENGKANG,5 ROOM,323C,SENGKANG EAST WAY,04 TO 06,110.0,Improved,2003,478000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
